"Сведения о страховых премиях по договорам,",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
переданным в перестрахование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 23.05.2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-март 2019 г. ,,,,,,,,,,,,,,,,,,,,,,,,тыс. руб.,,,,,,,,,,,,,,,,,,,,,,
,,,,Добровольное и обязательное страхование (кроме обязательного медицинского страхования),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,I. Добровольное страхование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II. Обязательное страхование ,,,,,,,
,,,,,Страхование жизни,,,,"Страхование иное, чем страхование жизни",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Обязательное личное страхование,,,Обязательное имущественное страхование,,,,
,,,,,,в том числе,,,,в том числе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,в том числе,,,в том числе,,,
,,,,,,,из него,,,личное страхование (кроме страхования жизни),,,,,Имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,в том числе,,,,,в том числе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,из него,,,,Страхование имущества,,,,,,,,,,Страхование гражданской ответственности,,,,,,,,,,,,,,государственное,,,,,,
,,,,,,,,,,,,,,,,,в том числе,,,,,,,,,,в том числе,,,,,,,,,,,,,страхование жизни,,,,гражданской ,гражданской ,
,,,,,,,,,,,,"пациентов, участвующих ",,,,,,,,,,,из него,,,,,      из него:,,,,,,,,,,,, и здоровья ,иные виды обязательного ,,гражданской ,ответственности ,ответственности ,иные виды обязательного 
№ п\п,Рег №,Наименование,Город,Всего,,страхование жизни ,страхование жизни,,,,,в клинических ,,,,,,,,,,,,,,,,владельцев ,,,,,,,,,,,,военнослужащих и,"личного страхования, ",,ответственности ,владельца опасного ,перевозчика за ,имущественного 
,,,,,Всего,(кроме пенсионного ,заемщика,пенсионное страхование,Всего,Всего,от несчастных случаев и ,исследованиях ,работников налоговых ,,Всего,,средств наземного ,,,,,,"страхование, ",,,,владельцев средств ,автотранспортных ,владельцев ,владельцев средств ,,,"организаций, ",за причинение вреда ,,за неисполнение или ,страхование ,страхование финансовых ,Всего,приравненных к ним,предусмотренные ,Всего,владельцев,объекта за причинение ,"причинение вреда жизни, ","страхования, "
,,,,,,страхования)-всего,,,,,болезней,лекарственного,органов,медицинское страхование,,Всего,транспорта ,средств ,средств воздушного ,средств водного ,грузов,сельскохозяйственное,осуществляемое с ,прочего имущества ,прочего имущества ,Всего,наземного транспорта ,средств (кроме ,автотранспортных ,железнодорожного ,владельцев средств ,владельцев средств ,эксплуатирующих ,вследствие недостатков ,за причинение вреда ,ненадлежащее ,предпринимательских ,рисков,,в обязательном ,федеральными законами,, транспортных средств,вреда в результате ,"здоровью, имуществу ",предусмотренные 
,,,,,,,,,,,,препарата для ,,,,,(кроме средств ,железнодорожного ,транспорта,транспорта,,страхование - всего,государственной ,юридических лиц,граждан,,(кроме средств ,"страхования, ","средств (страхование, ",транспорта,воздушного транспорта,водного транспорта,опасные объекты,"товаров, работ, услуг",третьим лицам,по договору,рисков,,,государственном ,,,,аварии на опасном ,пассажиров,федеральными законами
,,,,,,,,,,,,медицинского ,,,,,железнодорожного ,транспорта,,,,,поддержкой,,,,железнодорожного ,осуществляемого в,осуществляемое в ,,,,,,,,,,,страховании лиц,,,,объекте,,
,,,,,,,,,,,,применения,,,,,транспорта),,,,,,,,,,транспорта),рамках международной ,рамках международной ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,системы страхования ,системы страхования ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,«Зеленая карта»),«Зеленая карта»),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
,,ИТОГО:,,43559018.39803,326291.4604,326286.45396,103143.4322,5.00644,42133886.33213,2261161.16964,1174921.11515,4529.83056,0,1086240.05449,39872725.16249,30192108.02118,2989875.74168,24422.65674,726473.94372,459175.17663,1737235.53926,234496.51778,121479.22594,23814981.15485,205447.29052,3896974.52364,166485.09105,39169.30506,117126.10083,-0.08064,451955.65966,398099.85899,258747.29804,472226.31582,2128663.75494,20796.62578,4949047.47018,834595.14749,0,0,0,1098840.6055,0,840529.9114,258310.6941,0
